"SUBSTANCIA";"CO_ANO";"EX_FOB";"IMP_FOB";"SALDO"
"Água Mineral";"2016";8525137;1083147;7441990
"Água Mineral";"2017";9350826;1449673;7901153
"Água Mineral";"2018";11266996;2148610;9118386
"Amianto";"2016";50823042;4055410;46767632
"Amianto";"2017";56241017;7828310;48412707
"Amianto";"2018";46275124;2757496;43517628
"Antimônio";"2016";14612;6972728;-6958116
"Antimônio";"2017";527;8690981;-8690454
"Antimônio";"2018";67354;9909251;-9841897
"Areia";"2016";146137;57995;88142
"Areia";"2017";47101;50233;-3132
"Areia";"2018";71795;87164;-15369
"Argilas Comuns";"2016";23612470;45115673;-21503203
"Argilas Comuns";"2017";351296454;73047469;278248985
"Argilas Comuns";"2018";461045609;72835875;388209734
"Argilas Plásticas";"2016";335867212;101676134;234191078
"Argilas Plásticas";"2017";61518477;87308334;-25789857
"Argilas Plásticas";"2018";63655058;111469924;-47814866
"Argilas Refratárias";"2016";16858019;164153933;-147295914
"Argilas Refratárias";"2017";15773536;212144721;-196371185
"Argilas Refratárias";"2018";16775761;281806658;-265030897
"Bário";"2016";2021604;13344968;-11323364
"Bário";"2017";455168;14352266;-13897098
"Bário";"2018";218766;16718824;-16500058
"Bauxita";"2016";3787177218;1456741026;2330436192
"Bauxita";"2017";4168963623;1625246921;2543716702
"Bauxita";"2018";4057662796;2211592586;1846070210
"Bentonita";"2016";10655875;25448315;-14792440
"Bentonita";"2017";9440068;21266359;-11826291
"Bentonita";"2018";6511235;27843363;-21332128
"Bismuto";"2016";83598;2133254;-2049656
"Bismuto";"2017";80715;2212419;-2131704
"Bismuto";"2018";33115;2145881;-2112766
"Boro";"2016";503058;64170611;-63667553
"Boro";"2017";407952;82364788;-81956836
"Boro";"2018";480880;88023198;-87542318
"Bromo";"2016";775057;2689982;-1914925
"Bromo";"2017";1400676;2236491;-835815
"Bromo";"2018";681700;4851891;-4170191
"Cádmio";"2016";2332683;487459;1845224
"Cádmio";"2017";3325252;341749;2983503
"Cádmio";"2018";2865358;459098;2406260
"Calcário";"2016";73069700;197404983;-124335283
"Calcário";"2017";55365214;212938869;-157573655
"Calcário";"2018";55781867;220698132;-164916265
"Carvão Mineral";"2016";39602211;2064675879;-2025073668
"Carvão Mineral";"2017";50783110;3948147109;-3897363999
"Carvão Mineral";"2018";79343997;4291165131;-4211821134
"Caulim";"2016";269855583;56209941;213645642
"Caulim";"2017";260184702;77224354;182960348
"Caulim";"2018";211711419;92484560;119226859
"Chumbo";"2016";149159425;239720982;-90561557
"Chumbo";"2017";195373544;300052238;-104678694
"Chumbo";"2018";169759671;308822131;-139062460
"Cobalto";"2016";6142705;15927203;-9784498
"Cobalto";"2017";901120;42384226;-41483106
"Cobalto";"2018";2972657;72160574;-69187917
"Cobre";"2016";2890030178;1849246678;1040783500
"Cobre";"2017";3283038097;2313401714;969636383
"Cobre";"2018";3554147550;2399619251;1154528299
"Coríndon";"2016";274569;1022247;-747678
"Coríndon";"2018";326;678499;-678173
"Cromo";"2016";391859148;509343955;-117484807
"Cromo";"2017";384721149;606213435;-221492286
"Cromo";"2018";324380529;734556559;-410176030
"Diamante";"2016";45072766;105615739;-60542973
"Diamante";"2017";67789945;117876660;-50086715
"Diamante";"2018";55521773;126468643;-70946870
"Diatomita";"2016";753682;22387634;-21633952
"Diatomita";"2017";725077;22292252;-21567175
"Diatomita";"2018";721463;23316909;-22595446
"Dolomita";"2016";4061958;1481431;2580527
"Dolomita";"2017";5298516;3771243;1527273
"Dolomita";"2018";13924694;6209551;7715143
"Enxofre";"2016";7949910;208509503;-200559593
"Enxofre";"2017";14157640;230195254;-216037614
"Enxofre";"2018";20711604;405114455;-384402851
"Estanho";"2016";170558977;5234750;165324227
"Estanho";"2017";220799443;6339242;214460201
"Estanho";"2018";218615143;10542186;208072957
"Estrôncio";"2016";70323;2092131;-2021808
"Estrôncio";"2017";82354;2507277;-2424923
"Estrôncio";"2018";126034;2721435;-2595401
"Feldspato";"2016";875489;182356;693133
"Feldspato";"2017";712924;260957;451967
"Feldspato";"2018";1547499;226039;1321460
"Ferro";"2016";20136507092;3114325819;17022181273
"Ferro";"2017";28811775250;3787653296;25024121954
"Ferro";"2018";30560718480;4582490205;25978228275
"Fluorita";"2016";1040780;22585278;-21544498
"Fluorita";"2017";1010665;23713585;-22702920
"Fluorita";"2018";1225513;32800430;-31574917
"Fosfato";"2016";168128134;2560201269;-2392073135
"Fosfato";"2017";164149092;3068543904;-2904394812
"Fosfato";"2018";170092077;3347620099;-3177528022
"Gemas";"2016";170734077;5949983;164784094
"Gemas";"2017";166266818;6210419;160056399
"Gemas";"2018";166276147;7863340;158412807
"Gipsita";"2016";3237582;17379008;-14141426
"Gipsita";"2017";3641170;20381083;-16739913
"Gipsita";"2018";3843579;24655000;-20811421
"Grafita";"2016";37203082;87261622;-50058540
"Grafita";"2017";39912099;102786372;-62874273
"Grafita";"2018";48091034;239386474;-191295440
"Iodo";"2016";5740635;36217440;-30476805
"Iodo";"2017";4801740;22300873;-17499133
"Iodo";"2018";5552646;30416709;-24864063
"Irídio";"2018";228750;1752331;-1523581
"Lítio";"2016";4196227;186045585;-181849358
"Lítio";"2017";1155790;244283220;-243127430
"Lítio";"2018";3109477;289442720;-286333243
"Magnésio";"2016";83773548;64021021;19752527
"Magnésio";"2017";124545751;62635059;61910692
"Magnésio";"2018";143760354;89832922;53927432
"Manganês";"2016";291317282;308758901;-17441619
"Manganês";"2017";482325201;280509410;201815791
"Manganês";"2018";499193994;301417577;197776417
"Materiais Radioativos";"2016";5051006;48151424;-43100418
"Materiais Radioativos";"2017";1107390;52353798;-51246408
"Materiais Radioativos";"2018";4084275;45927611;-41843336
"Mercúrio";"2016";14439;2397747;-2383308
"Mercúrio";"2017";231;1370758;-1370527
"Mercúrio";"2018";501;1218258;-1217757
"Metais Preciosos - Diversos";"2016";281705985;207904017;73801968
"Metais Preciosos - Diversos";"2017";283769924;245828065;37941859
"Metais Preciosos - Diversos";"2018";379845957;270498323;109347634
"Mica";"2016";8223400;5369189;2854211
"Mica";"2017";8671798;5207467;3464331
"Mica";"2018";7707085;6415252;1291833
"Minerais Abrasivos - Diversos";"2016";58076384;102431873;-44355489
"Minerais Abrasivos - Diversos";"2017";62510916;123700992;-61190076
"Minerais Abrasivos - Diversos";"2018";63803473;138013581;-74210108
"Minerais Abrasivos - Outros";"2016";3453;109915;-106462
